               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10385,            0.035382,            0.026729,             0.78783,             0.11432,            0.094411,            0.021568,            0.079348,            0.031621,            0.015227,           0.0032704,           0.0032704,            0.070566
                   1,            0.085997,            0.026755,            0.017385,             0.76572,             0.12531,            0.079237,            0.017926,            0.078552,              0.0189,            0.014112,           0.0065384,           0.0065384,            0.040501
                   2,            0.082166,            0.024544,            0.016868,             0.72453,            0.087127,            0.042832,            0.010906,            0.083465,            0.017946,            0.015406,           0.0097404,           0.0097404,            0.010369
                   3,            0.076053,            0.024702,            0.015388,              0.7867,             0.14488,             0.14465,            0.042815,            0.070272,            0.018652,            0.011978,            0.009703,            0.009703,            0.009703
                   4,            0.069188,            0.023612,            0.014229,              0.7845,             0.14244,             0.13222,            0.033571,            0.069477,            0.020338,            0.011934,            0.009703,            0.009703,            0.009703
                   5,            0.065305,            0.024041,            0.012807,             0.38506,             0.41342,             0.21377,            0.063746,            0.061607,            0.020027,            0.011845,            0.009604,            0.009604,            0.009604
                   6,            0.063521,            0.024289,            0.012342,             0.62028,             0.28989,             0.23198,            0.063886,            0.060458,            0.018098,           0.0094297,            0.009505,            0.009505,            0.009505
                   7,            0.061012,            0.024461,             0.01067,             0.57335,             0.29775,             0.22858,            0.068561,            0.058049,            0.017789,           0.0075501,            0.009406,            0.009406,            0.009406
                   8,            0.061891,            0.023469,           0.0094254,              0.3625,             0.62451,             0.46875,              0.1627,            0.055858,            0.016831,           0.0077514,            0.009307,            0.009307,            0.009307
                   9,            0.059671,            0.022506,           0.0082137,             0.33962,             0.73709,             0.53213,             0.17047,             0.05163,            0.016092,           0.0054068,            0.009208,            0.009208,            0.009208
                  10,            0.057441,            0.021718,            0.008567,             0.38134,             0.67366,             0.52354,             0.18885,            0.051373,            0.015783,           0.0050432,            0.009109,            0.009109,            0.009109
                  11,            0.057789,            0.023018,           0.0075644,             0.63086,             0.51957,             0.52521,             0.19644,            0.057594,            0.016129,           0.0062616,             0.00901,             0.00901,             0.00901
                  12,            0.057083,            0.021814,           0.0063676,             0.70569,               0.563,             0.57327,             0.25122,            0.050756,            0.016143,           0.0051427,            0.008911,            0.008911,            0.008911
                  13,            0.054954,            0.021458,           0.0060733,               0.782,             0.50151,             0.55146,             0.19871,            0.052786,            0.016332,           0.0046467,            0.008812,            0.008812,            0.008812
                  14,            0.054049,             0.02083,           0.0056168,             0.66185,             0.66999,             0.64075,             0.27236,            0.047946,            0.015014,           0.0033321,            0.008713,            0.008713,            0.008713
                  15,            0.052867,            0.021067,           0.0060197,             0.81967,             0.61022,             0.65348,             0.26783,            0.046811,            0.015651,           0.0036738,            0.008614,            0.008614,            0.008614
                  16,            0.050917,            0.020897,           0.0051268,             0.80896,             0.63709,             0.66511,             0.26314,            0.048216,            0.015228,           0.0032784,            0.008515,            0.008515,            0.008515
