               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10191,            0.035523,            0.025028,             0.77431,             0.10817,            0.082443,            0.016176,            0.099499,             0.02396,            0.014631,           0.0032704,           0.0032704,            0.070566
                   1,            0.086147,            0.025111,            0.016613,             0.71118,              0.1258,            0.049862,            0.010266,            0.078302,            0.017841,            0.013133,           0.0065384,           0.0065384,            0.040501
                   2,            0.082153,            0.022732,            0.015635,             0.63872,             0.17573,             0.10203,            0.023974,            0.072628,            0.017208,            0.011917,           0.0097404,           0.0097404,            0.010369
                   3,            0.074376,            0.023003,            0.013058,             0.59955,             0.18624,             0.11391,            0.027032,            0.070427,            0.017698,            0.015482,            0.009703,            0.009703,            0.009703
                   4,            0.065478,            0.021497,            0.010741,             0.64775,             0.26298,             0.24949,            0.078636,             0.05879,            0.020988,            0.011804,            0.009703,            0.009703,            0.009703
                   5,            0.062861,            0.020917,           0.0086452,             0.31667,             0.49886,             0.32885,             0.10931,            0.061437,            0.017657,            0.015445,            0.009604,            0.009604,            0.009604
                   6,            0.057306,            0.021225,           0.0075559,               0.604,             0.55962,             0.48014,             0.15089,            0.052667,             0.01564,             0.00911,            0.009505,            0.009505,            0.009505
                   7,            0.057206,             0.02133,           0.0064015,             0.37838,             0.57837,             0.41653,             0.13635,            0.059032,            0.016191,           0.0078452,            0.009406,            0.009406,            0.009406
                   8,             0.05623,             0.02026,           0.0058368,              0.4211,             0.24965,             0.23547,            0.073218,            0.059773,            0.025729,            0.010687,            0.009307,            0.009307,            0.009307
                   9,             0.05206,            0.020195,            0.005483,             0.71001,             0.61818,             0.59511,             0.25643,            0.050594,            0.015722,           0.0042931,            0.009208,            0.009208,            0.009208
                  10,            0.052325,            0.019332,           0.0051191,             0.72146,             0.63973,             0.66516,             0.25379,            0.052614,            0.014713,           0.0040928,            0.009109,            0.009109,            0.009109
                  11,            0.052256,            0.019889,           0.0043356,             0.76466,              0.5784,             0.61949,             0.19657,            0.050794,             0.01488,           0.0039059,             0.00901,             0.00901,             0.00901
                  12,            0.051074,            0.018814,            0.003712,             0.68449,             0.63434,             0.61889,             0.25539,            0.049031,            0.014924,           0.0051555,            0.008911,            0.008911,            0.008911
                  13,            0.049034,            0.018586,           0.0036741,              0.8588,             0.61044,             0.66353,             0.26964,            0.045983,            0.015098,           0.0034317,            0.008812,            0.008812,            0.008812
                  14,             0.04991,            0.018338,           0.0034277,             0.62347,             0.75955,             0.73205,             0.34686,            0.045053,            0.014521,           0.0029863,            0.008713,            0.008713,            0.008713
                  15,            0.048019,            0.018869,           0.0032791,             0.76052,             0.69752,             0.75053,             0.33662,            0.044533,            0.014241,           0.0027884,            0.008614,            0.008614,            0.008614
                  16,            0.046488,            0.018597,           0.0028816,             0.69576,             0.71659,             0.73732,             0.31621,            0.044264,            0.014504,           0.0040494,            0.008515,            0.008515,            0.008515
                  17,            0.046249,            0.017843,           0.0029725,             0.65743,             0.67643,             0.67211,             0.30979,            0.046212,            0.014999,           0.0034537,            0.008416,            0.008416,            0.008416
                  18,            0.045622,            0.018316,           0.0028761,             0.67705,             0.59398,             0.66494,             0.30025,             0.04541,            0.014771,           0.0029431,            0.008317,            0.008317,            0.008317
                  19,            0.045689,            0.018494,           0.0023863,             0.61519,             0.75527,             0.77121,             0.32609,            0.045193,            0.013235,           0.0025381,            0.008218,            0.008218,            0.008218
                  20,            0.045157,            0.017676,           0.0028935,             0.70682,             0.63129,             0.69659,             0.28717,            0.043501,            0.014128,            0.002678,            0.008119,            0.008119,            0.008119
                  21,            0.044874,            0.017064,           0.0023333,             0.72454,             0.68882,              0.6923,              0.2946,            0.044034,            0.013899,           0.0025739,             0.00802,             0.00802,             0.00802
                  22,            0.043939,            0.017987,           0.0023324,             0.64652,             0.76562,             0.75572,             0.33968,            0.044763,            0.013601,           0.0024432,            0.007921,            0.007921,            0.007921
                  23,            0.042647,            0.016949,           0.0021508,              0.6978,             0.51799,             0.54898,             0.22608,            0.053112,            0.016028,           0.0043481,            0.007822,            0.007822,            0.007822
                  24,            0.043787,            0.017625,            0.002273,             0.91887,              0.7857,             0.84332,             0.42501,            0.039936,             0.01309,           0.0023234,            0.007723,            0.007723,            0.007723
                  25,            0.041929,            0.016428,            0.002124,             0.88875,             0.78365,             0.83405,              0.3795,            0.042294,            0.013468,           0.0018874,            0.007624,            0.007624,            0.007624
                  26,            0.042849,            0.017359,           0.0021779,             0.75929,             0.69802,             0.79107,             0.34416,            0.040236,             0.01372,           0.0018148,            0.007525,            0.007525,            0.007525
                  27,               0.041,            0.016839,           0.0021027,             0.82582,              0.7877,             0.82455,             0.34883,            0.040069,            0.012704,           0.0017148,            0.007426,            0.007426,            0.007426
                  28,            0.041258,            0.017508,           0.0019611,             0.81105,             0.75142,             0.79909,             0.40825,            0.039429,            0.013142,           0.0021049,            0.007327,            0.007327,            0.007327
                  29,             0.04003,            0.016398,           0.0022167,             0.78472,             0.71377,             0.78732,             0.39936,            0.039521,            0.012799,           0.0023543,            0.007228,            0.007228,            0.007228
                  30,            0.038841,            0.016063,           0.0016735,             0.82175,             0.71067,             0.80723,             0.35769,            0.039112,            0.012899,           0.0021297,            0.007129,            0.007129,            0.007129
                  31,            0.039646,            0.016991,           0.0018762,             0.80976,             0.80094,             0.87079,             0.41638,             0.03915,            0.012895,           0.0014096,             0.00703,             0.00703,             0.00703
                  32,            0.040232,            0.016479,           0.0022256,             0.85539,             0.69861,             0.78762,             0.39089,            0.041263,            0.013362,           0.0026705,            0.006931,            0.006931,            0.006931
                  33,            0.040653,            0.016622,            0.001949,             0.78877,             0.85472,               0.837,             0.40009,            0.041974,              0.0131,           0.0022618,            0.006832,            0.006832,            0.006832
                  34,            0.037936,            0.015654,           0.0018572,             0.70826,              0.7801,             0.79885,             0.39838,            0.038367,            0.013309,           0.0021659,            0.006733,            0.006733,            0.006733
                  35,            0.038794,            0.016103,           0.0017415,              0.8089,             0.71846,             0.80839,             0.42058,             0.03642,            0.012676,           0.0019034,            0.006634,            0.006634,            0.006634
                  36,            0.039362,            0.017009,            0.002012,             0.85921,             0.68676,             0.81759,             0.41532,            0.039755,             0.01313,           0.0022825,            0.006535,            0.006535,            0.006535
                  37,            0.038475,            0.016352,           0.0017357,             0.90297,             0.67697,             0.80328,             0.45105,            0.037947,            0.012746,           0.0020161,            0.006436,            0.006436,            0.006436
                  38,            0.036746,            0.015129,           0.0016067,             0.70712,             0.84912,             0.82067,             0.41869,            0.038322,            0.012669,           0.0021442,            0.006337,            0.006337,            0.006337
                  39,            0.037294,            0.015848,           0.0017213,              0.8615,             0.80835,             0.87284,             0.45324,            0.036944,            0.012689,           0.0018108,            0.006238,            0.006238,            0.006238
                  40,            0.036373,            0.015637,           0.0015572,              0.8465,             0.80729,             0.82914,             0.41677,            0.036499,            0.012864,           0.0012496,            0.006139,            0.006139,            0.006139
                  41,            0.037364,            0.016003,           0.0016388,             0.90418,             0.77075,             0.86684,             0.45136,            0.038245,            0.012147,           0.0015918,             0.00604,             0.00604,             0.00604
                  42,            0.036651,            0.014902,           0.0014172,             0.82787,             0.84429,             0.88671,             0.43611,            0.036407,            0.012543,           0.0014659,            0.005941,            0.005941,            0.005941
                  43,            0.036326,            0.015878,           0.0014825,              0.8051,             0.87875,              0.8938,             0.44987,             0.03794,            0.012633,           0.0013343,            0.005842,            0.005842,            0.005842
                  44,            0.037221,            0.015999,           0.0015139,             0.84925,             0.82568,             0.88517,             0.46984,              0.0354,            0.012089,           0.0014795,            0.005743,            0.005743,            0.005743
                  45,            0.033997,            0.014874,           0.0013847,             0.77377,             0.88223,             0.87668,              0.4762,            0.036471,            0.012273,           0.0013825,            0.005644,            0.005644,            0.005644
                  46,             0.03552,            0.015462,           0.0012632,             0.85885,             0.74978,             0.84205,             0.43861,             0.03598,            0.012379,           0.0016135,            0.005545,            0.005545,            0.005545
                  47,            0.033994,             0.01469,           0.0012569,              0.9167,             0.82006,             0.91515,             0.52945,             0.03468,            0.012142,           0.0012808,            0.005446,            0.005446,            0.005446
                  48,            0.035717,            0.014586,           0.0012683,             0.85709,             0.87722,             0.91073,             0.48229,            0.036092,            0.012552,            0.001462,            0.005347,            0.005347,            0.005347
                  49,            0.034793,            0.015121,           0.0014663,             0.88152,             0.79113,             0.86051,             0.49144,            0.034529,            0.012273,           0.0013797,            0.005248,            0.005248,            0.005248
                  50,            0.033925,            0.015212,           0.0014023,             0.81707,             0.82754,             0.85237,             0.45134,            0.035971,             0.01241,             0.00139,            0.005149,            0.005149,            0.005149
                  51,            0.034658,            0.014921,           0.0013514,             0.78588,             0.83523,             0.85134,             0.47843,            0.035397,            0.012433,           0.0018274,             0.00505,             0.00505,             0.00505
                  52,            0.035146,            0.015118,           0.0016051,             0.85618,             0.83614,             0.87042,             0.51717,            0.035779,            0.012786,           0.0015839,            0.004951,            0.004951,            0.004951
                  53,            0.033562,            0.014868,            0.001316,             0.96341,             0.72147,             0.86931,             0.50518,             0.03418,            0.012131,           0.0011292,            0.004852,            0.004852,            0.004852
                  54,            0.031788,            0.014994,           0.0011764,             0.86489,             0.83799,             0.87023,             0.54093,            0.033804,            0.011997,           0.0010389,            0.004753,            0.004753,            0.004753
                  55,            0.032048,            0.013928,          0.00088193,             0.84984,             0.84658,             0.87971,             0.52882,            0.034216,            0.012147,           0.0010972,            0.004654,            0.004654,            0.004654
                  56,            0.032457,            0.013784,           0.0011148,             0.90857,             0.88194,             0.92394,             0.53317,            0.034598,            0.012072,           0.0011089,            0.004555,            0.004555,            0.004555
                  57,            0.032795,            0.014553,           0.0011673,             0.86522,             0.85981,             0.87837,             0.52418,            0.034006,            0.012131,           0.0015084,            0.004456,            0.004456,            0.004456
                  58,            0.032181,            0.014552,            0.001072,              0.8115,             0.80439,             0.86514,             0.48014,            0.033221,            0.012132,           0.0012335,            0.004357,            0.004357,            0.004357
                  59,            0.032466,            0.014291,           0.0010759,               0.941,              0.7418,             0.85999,             0.51504,            0.033664,            0.012098,           0.0013205,            0.004258,            0.004258,            0.004258
                  60,            0.032188,            0.014109,           0.0010511,             0.84368,             0.88479,             0.89761,             0.49185,            0.033159,            0.011945,           0.0012988,            0.004159,            0.004159,            0.004159
                  61,            0.030932,            0.014235,           0.0012508,             0.88619,             0.81084,             0.88538,             0.53156,            0.033352,            0.012042,           0.0011244,             0.00406,             0.00406,             0.00406
                  62,            0.031096,            0.013687,           0.0010855,             0.87333,             0.82366,             0.87573,             0.53288,            0.032917,            0.011941,           0.0011173,            0.003961,            0.003961,            0.003961
                  63,             0.03104,            0.014196,           0.0011437,             0.84261,             0.87077,             0.90923,             0.53843,            0.032699,            0.011948,           0.0011657,            0.003862,            0.003862,            0.003862
                  64,            0.030628,            0.013287,           0.0010542,             0.85693,             0.86145,             0.90802,               0.515,            0.032732,            0.011973,            0.001126,            0.003763,            0.003763,            0.003763
                  65,             0.03031,            0.013532,           0.0010449,             0.81173,             0.91067,             0.91514,             0.51364,            0.032502,            0.011805,           0.0010943,            0.003664,            0.003664,            0.003664
                  66,            0.030301,            0.013462,           0.0010961,             0.78749,             0.89636,             0.91721,             0.53683,            0.032678,            0.011918,          0.00095803,            0.003565,            0.003565,            0.003565
                  67,            0.030938,            0.014112,          0.00089005,             0.82814,             0.83818,             0.88248,             0.52549,            0.032579,             0.01179,           0.0010137,            0.003466,            0.003466,            0.003466
                  68,            0.029697,            0.013043,          0.00080594,             0.86816,             0.85147,             0.88069,             0.55542,            0.032223,            0.011771,          0.00097329,            0.003367,            0.003367,            0.003367
                  69,            0.029397,            0.012631,          0.00084164,             0.84649,             0.86721,             0.90405,             0.57362,            0.031942,             0.01163,          0.00092203,            0.003268,            0.003268,            0.003268
                  70,            0.029818,            0.013332,          0.00095138,             0.88776,             0.83487,             0.88904,             0.51979,            0.032089,             0.01171,          0.00094281,            0.003169,            0.003169,            0.003169
                  71,            0.029075,            0.012272,          0.00089912,             0.89168,             0.81968,             0.91409,             0.56459,            0.032448,            0.011771,           0.0012657,             0.00307,             0.00307,             0.00307
                  72,            0.029373,            0.013074,          0.00092421,             0.79607,             0.85625,             0.87094,             0.53495,            0.031994,            0.011768,          0.00092422,            0.002971,            0.002971,            0.002971
                  73,            0.029227,            0.012917,          0.00092265,             0.87989,             0.85439,              0.9081,             0.55399,            0.031694,            0.011708,          0.00091242,            0.002872,            0.002872,            0.002872
                  74,            0.028799,            0.013215,          0.00085252,             0.84997,             0.86769,              0.9064,              0.5375,            0.031185,            0.011642,          0.00090605,            0.002773,            0.002773,            0.002773
                  75,             0.02845,            0.012272,          0.00078884,             0.81866,             0.86497,             0.86998,             0.52897,            0.031747,            0.011757,          0.00095804,            0.002674,            0.002674,            0.002674
                  76,            0.029336,            0.013621,          0.00061091,             0.88527,             0.83654,             0.88869,             0.55159,            0.031912,            0.011661,           0.0009585,            0.002575,            0.002575,            0.002575
                  77,             0.02886,            0.012697,          0.00077718,             0.89159,             0.83944,             0.91069,             0.56194,            0.031315,            0.011596,          0.00094567,            0.002476,            0.002476,            0.002476
